strategy,ACX.MC,BB,BKT.MC,CL=F,EGRNF,FTSEMIB.MI,GC=F,GE,GEST.MC,GM,IDR.MC,ITX.MC,PFE,REPYY,SAN,SI=F,^BSESN,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^IXIC,^KS11,^N225,^RUT,Average
RSI & MA MODE (MA: 30),110.25724910565185,-22.895697149905082,773.9612936088463,96.21979783837536,-99.94676880753008,155.51681162373006,244.0007676289643,434.81036379492855,4.331452930519031,268.0498785415735,706.6579336045268,697.8737917207873,28.705364498879415,121.45399244144753,238.56227636911433,384.6745044613801,712.1680894320723,137.22857669913859,455.1065756248903,692.8800231303636,322.564604942173,73.52801298128688,184.45851412934076,1351.1142658052388,341.08390074541524,518.596422613142,429.6892544154183,346.69078713813957
RSI & MA MODE (MA: 50),110.25724910565185,-22.895697149905082,773.9612936088463,96.21979783837536,-99.94676880753008,155.51681162373006,244.0007676289643,434.81036379492855,4.331452930519031,267.1066629365605,712.7564392797606,697.8737917207873,28.705364498879415,123.24520382893027,238.56227636911433,274.3347802122237,712.1680894320723,137.22857669913859,455.1065756248903,692.8800231303636,322.564604942173,73.52801298128688,184.45851412934076,1351.1142658052388,297.1041513990554,518.596422613142,429.6892544154183,341.2325289108132
RSI & MA MODE (MA: 200),110.30467671317119,-20.9990107461105,783.8305396902857,99.3163314902644,-99.93268322060453,179.85663583867165,251.64846168624004,443.5074320297244,0.7643222884980282,267.1066629365605,669.5210098120643,291.00136168677426,29.180599867414408,123.40335967906859,243.9544683412855,274.3347802122237,553.4121060711396,122.14169902098662,317.582942987352,725.9101238378374,245.07417252964632,48.32380136430036,172.87629932150418,1371.9757709917815,316.4106121146776,532.2576971031514,332.9067574857529,310.58040485680226
MA MODE (MA: 30),83.57075932939486,31.16639002884642,553.7958432420046,70.14578503626923,-83.49924131943476,135.5116493011675,371.4327594956913,292.8235504895522,-11.386665426429786,169.01555072853586,491.39970772053186,454.30337643646317,8.413828016498325,101.18964021068359,162.6878375589812,443.37350706194184,735.0483669347769,91.67518701875622,301.37330200985815,452.6763816634089,219.95055978924762,46.82202439721947,129.40481278610275,893.3743260847283,415.8370822774467,409.23280104730003,286.9962758267562,268.75316287949255
MA MODE (MA: 50),86.53233370923691,38.977783369780504,627.1263650082284,68.0459741632505,-77.72593805185103,144.3436127074989,277.95247287454845,315.03236218457295,-8.33620045403364,174.61745708156158,511.4297458097732,465.26887394410153,10.036671793462473,105.35937599393517,167.74893786140134,389.24291843874886,828.7541239707978,96.0881682619149,320.5815959813097,475.433665439515,232.30984349033724,48.71708842138189,134.26453959687453,977.9437441951766,398.4730852024751,423.180247891156,294.85436398639024,278.7501189952424
MA MODE (MA: 200),86.18491725830006,22.382089535865287,756.5679490119818,66.67115305562326,-65.33274481284089,170.60803350749396,262.2851080401585,408.0698729105216,-6.815012583164734,169.47895346965356,523.8251675627076,304.40905722969643,22.929937565519374,107.56417929958324,188.43876950732601,305.4801752860784,523.614483660045,108.37788547234271,381.3116898123689,626.1290310782334,222.87216178937058,31.54056491973157,129.2888460575684,1139.23196284908,250.5285897301133,559.2248484963905,288.79269582641206,280.87630983467267
RSI MODE,107.07003357177601,-22.563180596167967,752.5861790065399,97.37790405602244,-99.94905578473012,153.21624224769036,1250.330996166749,395.0674151416107,-16.03471664904673,224.96113365989947,639.8994207668426,721.8152192171558,27.638119519354177,103.33204213225432,185.9133397928457,809.9769070178208,865.0439664737208,134.60547425659547,450.3493626323158,682.4532022411942,323.31669928255565,73.32343820984342,180.87795174468505,1317.4411813848387,512.058239381546,509.18482302981164,432.4538105458698,400.4350425351701
DCA MODE,71.22042780702236,10.502958414356785,455.47012015355034,56.93424421101149,-86.39907630256906,115.61092783845659,442.0666582838469,240.34263094177112,-18.459059610778436,141.7315071552924,437.7334644749769,453.53959032209116,3.4758066178631912,80.81397288577185,127.25030403454159,435.9113782525084,547.9039935719491,77.99182891373447,251.95027194941372,352.9813245818859,185.72071125840947,36.974680816984105,110.81466329167174,672.790350874939,365.96883940759915,336.6759392148609,243.39231989130607,227.811510342684
Value Averaging Modified,81.55628046089916,45.79494393178796,594.168317889017,69.03483451127089,-68.88295367945604,130.27016644103477,442.9836148278172,316.17629887894117,-12.894215176390164,152.30953707024227,493.39090556475486,482.40251499735996,11.66538052401989,102.69618067068286,173.52911885206737,440.9164250972171,591.3396633185127,83.75698169258725,279.4505138029534,384.4032640818402,193.464445618506,42.06692554887103,120.23794309802037,743.1259809067278,381.3071370322709,370.4339999357329,263.31323382744216,255.8524977675826
