strategy,ACX.MC,BB,BKT.MC,CL=F,EGRNF,FTSEMIB.MI,GC=F,GE,GEST.MC,GM,IDR.MC,ITX.MC,PFE,REPYY,SAN,SI=F,^BSESN,^FTSE,^GDAXI,^GSPC,^GSPTSE,^HSI,^IBEX,^IXIC,^KS11,^N225,^RUT,Average
RSI & MA MODE (MA: 30),38,69,36,60,45,53,7,69,19,19,48,33,39,57,55,32,21,26,34,24,26,36,28,22,19,26,26,35.81481481481482
RSI & MA MODE (MA: 50),38,69,36,60,45,53,7,69,19,8,45,33,39,53,55,29,21,26,34,24,26,36,28,22,18,26,26,35.0
RSI & MA MODE (MA: 200),36,67,26,58,34,36,6,67,9,8,32,19,38,52,51,29,12,12,17,11,15,27,16,8,15,18,14,27.14814814814815
MA MODE (MA: 30),653,715,597,576,392,558,408,618,272,366,591,424,667,606,635,569,454,505,474,402,454,615,563,408,541,566,472,522.2592592592592
MA MODE (MA: 50),641,741,604,547,380,543,340,580,267,338,563,400,666,576,627,526,372,474,422,363,411,561,561,383,507,524,447,494.962962962963
MA MODE (MA: 200),562,716,505,403,334,482,216,480,232,222,530,259,613,577,663,373,51,285,223,153,173,402,568,132,275,288,197,367.18518518518516
RSI MODE,51,70,37,61,51,54,29,77,32,33,69,34,40,80,75,58,25,27,35,25,30,37,29,23,33,27,27,43.2962962962963
DCA MODE,1392,1392,1392,1359,852,1392,1358,1392,492,825,1353,1320,1392,1392,1392,1358,1392,1391,1392,1392,1392,1392,1392,1392,1391,1391,1392,1309.7037037037037
Value Averaging Modified,1392,1392,1392,1359,852,1392,1358,1392,492,825,1353,1320,1392,1392,1392,1358,1392,1391,1392,1392,1392,1392,1392,1392,1391,1391,1392,1309.7037037037037
